variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,method,brier,nll,ece
consequence,xgboost,10,21520,2391,353,0.8803418803418803,0.29178470254957506,0.43829787234042555,0.8885822349856968,0.6566472896246317,0.4685079180999655,0.6742209631728046,isotonic,0.08846077245252579,0.3031457331471027,0.08165078634271648
consequence,lightgbm,1,21519,2392,354,0.5269230769230769,0.7740112994350282,0.6270022883295194,0.9150435510609161,0.6980384502992334,0.5624253996880961,0.7401129943502824,uncalibrated,,,
consequence,lightgbm,2,21520,2391,354,0.4927536231884058,0.768361581920904,0.6004415011037527,0.9082628158724612,0.6950598436279,0.5317412996926497,0.7344632768361582,uncalibrated,,,
consequence,lightgbm,3,21520,2391,354,0.5155642023346303,0.748587570621469,0.6105990783410138,0.9094949646233939,0.6790265966824539,0.5415017036450649,0.7288135593220338,uncalibrated,,,
consequence,lightgbm,4,21520,2391,353,0.49444444444444446,0.7563739376770539,0.5979843225083986,0.9110414865432144,0.6715278179785473,0.5280465998854823,0.7082152974504249,uncalibrated,,,
consequence,lightgbm,5,21520,2391,353,0.5231388329979879,0.7365439093484419,0.611764705882353,0.9057948552571953,0.6584053657376744,0.5422386052086644,0.7195467422096318,uncalibrated,,,
consequence,lightgbm,6,21520,2391,353,0.533066132264529,0.7535410764872521,0.6244131455399061,0.9131703024961983,0.7134016402254643,0.5579874218731268,0.7450424929178471,uncalibrated,,,
consequence,lightgbm,7,21520,2391,353,0.492619926199262,0.7563739376770539,0.5966480446927375,0.9123001498441787,0.6930760370616471,0.5265249531681063,0.7337110481586402,uncalibrated,,,
consequence,lightgbm,8,21520,2391,353,0.48120300751879697,0.7252124645892352,0.5785310734463277,0.899828888512039,0.657728131610231,0.5030232724285522,0.6855524079320113,uncalibrated,,,
consequence,lightgbm,9,21520,2391,353,0.5155038759689923,0.7535410764872521,0.6121979286536249,0.9108969244412815,0.7104041755218096,0.544007723545886,0.7365439093484419,uncalibrated,,,
consequence,lightgbm,10,21520,2391,353,0.5111111111111111,0.71671388101983,0.5966981132075472,0.9008936439935836,0.6807444321330709,0.5235366421182195,0.7082152974504249,uncalibrated,,,
