variant,model,held_out_project,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
consequence,lightgbm,org.apache:httpclient,23214,697,140,0.36787564766839376,0.5071428571428571,0.4264264264264264,0.7200179533213645,0.39568578054956666,0.2579642641143049,0.37857142857142856
consequence,lightgbm,org.apache:httpcore,23129,782,111,0.2727272727272727,0.5405405405405406,0.36253776435045315,0.7584484633664962,0.38300903803578723,0.23446621380361002,0.44144144144144143
consequence,lightgbm,org.apache:net,23661,250,50,0.45,0.72,0.5538461538461539,0.8094500000000001,0.5906333645725255,0.4287464628562721,0.56
consequence,lightgbm,org.apache:thrift,23732,179,11,0.175,0.6363636363636364,0.27450980392156865,0.7786796536796537,0.22660223943280547,0.25363090209002803,0.5454545454545454
consequence,lightgbm,org.apache:vfs,23506,405,79,0.5054945054945055,0.5822784810126582,0.5411764705882353,0.8544303797468354,0.5524423295502056,0.4217509987589924,0.5316455696202531
consequence,lightgbm,org.apache:zookeeper,23166,745,98,0.4057971014492754,0.5714285714285714,0.4745762711864407,0.8618190707504022,0.48839121975158967,0.38689082882811177,0.5714285714285714
severity,logistic_regression,org.apache:archiva,22326,1585,88,0.4506172839506173,0.8295454545454546,0.584,0.9666378210967389,0.70514147447967,0.5821509049656894,0.9886363636363636
severity,logistic_regression,org.apache:batik,22199,1712,225,0.5365168539325843,0.8488888888888889,0.657487091222031,0.9411163416274376,0.7364056289157243,0.6143352432975139,0.84
severity,logistic_regression,org.apache:bcel,23440,471,60,0.6162790697674418,0.8833333333333333,0.726027397260274,0.9582319545823195,0.7690285879561013,0.6930345098471034,0.9
severity,logistic_regression,org.apache:cayenne,20341,3570,189,0.5377358490566038,0.6031746031746031,0.5685785536159601,0.9593918082530919,0.6158332943210107,0.5440015685477815,0.9629629629629629
severity,logistic_regression,org.apache:cocoon,21209,2702,117,0.45495495495495497,0.8632478632478633,0.5958702064896755,0.9757245118947246,0.6841720221886893,0.605124597275586,0.9743589743589743
severity,logistic_regression,org.apache:codec,23794,117,2,0.0,0.0,0.0,0.8521739130434782,0.08012820512820512,-0.042482443413242026,1.0
severity,logistic_regression,org.apache:commons-cli,23752,159,11,0.45,0.8181818181818182,0.5806451612903226,0.7985257985257985,0.5228482302011713,0.5692388661298021,0.8181818181818182
severity,logistic_regression,org.apache:commons-fileupload,23861,50,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
severity,logistic_regression,org.apache:commons-jelly,23492,419,13,0.7,0.5384615384615384,0.6086956521739131,0.9907161803713527,0.7092623188777034,0.6032908671026648,1.0
severity,logistic_regression,org.apache:commons-jexl,23753,158,16,0.6363636363636364,0.4375,0.5185185185185185,0.9278169014084507,0.651618525275067,0.4852033325350922,0.8125
severity,logistic_regression,org.apache:configuration,23503,408,25,0.7,0.84,0.7636363636363637,0.9881984334203655,0.8515916198725786,0.7502737422989513,1.0
severity,logistic_regression,org.apache:daemon,23899,12,6,0.6666666666666666,1.0,0.8,1.0,1.0,0.5773502691896257,0.5
severity,logistic_regression,org.apache:dbcp,23798,113,22,0.9444444444444444,0.7727272727272727,0.85,0.9845154845154844,0.9584697608766928,0.8242135536131161,0.9090909090909091
severity,logistic_regression,org.apache:digester,23578,333,21,0.3191489361702128,0.7142857142857143,0.4411764705882353,0.9413919413919414,0.6792656834902796,0.42707959572853876,0.9047619047619048
severity,logistic_regression,org.apache:felix,20174,3737,574,0.5496342737722049,0.9163763066202091,0.6871325930764206,0.9571449501586836,0.8220811216979732,0.6444434858254798,0.8414634146341463
severity,logistic_regression,org.apache:hive,18604,5307,669,0.24906909391808027,0.8998505231689088,0.39014906027219703,0.8825543327976919,0.7490949052409692,0.3389202821950932,0.8056801195814649
severity,logistic_regression,org.apache:httpclient,23214,697,59,0.45054945054945056,0.6949152542372882,0.5466666666666666,0.940810796450773,0.6693199704586512,0.5093829009106368,0.864406779661017
severity,logistic_regression,org.apache:httpcore,23129,782,41,0.3157894736842105,0.8780487804878049,0.4645161290322581,0.9561568085316481,0.5060285804229169,0.48811191494060735,0.975609756097561
severity,logistic_regression,org.apache:net,23661,250,42,0.40594059405940597,0.9761904761904762,0.5734265734265734,0.9262820512820512,0.6624795948252392,0.5239861287085494,0.6904761904761905
