variant,model,method,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,brier_mean,nll_mean,ece_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std,brier_std,nll_std,ece_std
szz,lightgbm,uncalibrated,0.35228692698944414,0.30586206896551726,0.32376803861509446,0.9355459107977719,0.26397147612252275,0.3185472710462246,0.9159770114942528,,,,0.10792022358795025,0.09736392858713579,0.09324188003049583,0.01905414369954307,0.07013496639436863,0.09486214113668437,0.06172852571146315,,,
szz,logistic_regression,isotonic,0.0,0.0,0.0,0.9129266239480669,0.193072080826384,0.0,0.8417241379310345,0.011363937215350636,0.0528422955539413,0.010302255617270915,0.0,0.0,0.0,0.027713370837481377,0.04963365837092445,0.0,0.08046898323460884,0.0003213584616682582,0.003184344203307498,0.0036616866174469472
szz,logistic_regression,platt,0.0,0.0,0.0,0.9152043769964365,0.1971183530524246,-0.0002305757783473437,0.8248275862068966,0.011378647907500166,0.05250483910205148,0.0043779392872369685,0.0,0.0,0.0,0.025732804566582734,0.05044027517547289,0.0007291446328437409,0.0934303580647434,0.00031049691889559585,0.0022885046989770696,0.0016043965701410152
szz,logistic_regression,uncalibrated,0.05783277333765261,0.825287356321839,0.10806521661751407,0.9234065945042005,0.21338788818826435,0.19028869350532224,0.852183908045977,,,,0.003984382512915016,0.08539507058994474,0.007536940574870018,0.020594700725333523,0.04439227380370093,0.01966284617068943,0.07226504619789041,,,
szz,random_forest,isotonic,0.0,0.0,0.0,0.9417298620944493,0.2305647275457224,0.0,0.9257471264367816,0.010963380076767962,0.04700943162140871,0.002341037410319212,0.0,0.0,0.0,0.015799825340138116,0.0699635559305736,0.0,0.04813029198927518,0.0003763766587821336,0.0024156650112116553,0.000952269000161967
szz,random_forest,platt,0.1,0.006666666666666666,0.0125,0.9107496413421655,0.24584506051230673,0.025668133484947602,0.8819540229885059,0.011060687402543486,0.052952278528338906,0.005700288193805117,0.31622776601683794,0.021081851067789197,0.03952847075210474,0.03897255411231556,0.07812719152029429,0.08116976509766974,0.0653928823572631,0.0004568469408527563,0.0029799432058354837,0.0016171352724699245
szz,random_forest,uncalibrated,0.5041666666666667,0.056896551724137934,0.09820702152857849,0.933172057760115,0.2801246961894123,0.15734933486438837,0.9426436781609195,,,,0.2710647159755647,0.05212206799390884,0.08192647521871728,0.023173262837813853,0.07714846841219995,0.09697454769488177,0.04534511490115147,,,
szz,xgboost,isotonic,0.0,0.0,0.0,0.9427014415385886,0.24133689315627072,0.0,0.9359770114942529,0.010893684568360987,0.04621028916304543,0.003662944260577447,0.0,0.0,0.0,0.014695847219578692,0.07421420761126783,0.0,0.060790605501978366,0.0003559900167152018,0.002222974158475582,0.0018065159540113893
szz,xgboost,platt,0.0,0.0,0.0,0.8577295031202319,0.2452086319575948,0.0,0.8386206896551724,0.01115150120662394,0.05559733155074006,0.005191227075046895,0.0,0.0,0.0,0.06297565106499844,0.0823735720042841,0.0,0.08603763715785596,0.0005374520238877193,0.0037428083823266758,0.0017942119832797523
szz,xgboost,uncalibrated,0.4674825174825175,0.12045977011494254,0.1863796286339723,0.9459513855779452,0.27587381267626765,0.2275594081453399,0.9190804597701149,,,,0.2048186244043333,0.0786510811879972,0.1112228617707364,0.012064784715357015,0.0821483281106996,0.11907894792491887,0.053486919385520054,,,
