model,project_id,n_train,n_test,n_pos_test,f1,roc_auc,pr_auc,ce_at_20,note
xgboost,org.apache:batik,11367,1082,176,0.8304093567251462,0.9824716536223159,0.9180848101959821,0.9318181818181818,
xgboost,org.apache:bcel,12053,396,73,0.8441558441558441,0.9756563043386063,0.906973685313665,0.863013698630137,
xgboost,org.apache:cayenne,11487,962,145,0.8150943396226416,0.9832355548052168,0.9192201203792089,0.9310344827586207,
xgboost,org.apache:cocoon,10329,2120,464,0.6458797327394209,0.9266388940946193,0.774381171710853,0.6163793103448276,
xgboost,org.apache:codec,12404,45,9,0.6206896551724138,0.9660493827160495,0.9174093879976235,0.7777777777777778,
xgboost,org.apache:commons-cli,12386,63,12,0.7272727272727273,0.9738562091503268,0.918864468864469,0.75,
xgboost,org.apache:commons-fileupload,12424,25,6,0.9090909090909091,1.0,1.0,0.8333333333333334,
xgboost,org.apache:commons-jelly,12290,159,14,0.4444444444444444,0.9724137931034483,0.8440516358058374,0.9285714285714286,
xgboost,org.apache:commons-jexl,12348,101,19,0.7222222222222222,0.9505776636713735,0.836344550340395,0.7368421052631579,
xgboost,org.apache:configuration,12274,175,32,0.8484848484848485,0.9833916083916083,0.929316388694755,0.90625,
xgboost,org.apache:daemon,12439,10,4,,,,,training_only
xgboost,org.apache:dbcp,12395,54,14,0.7567567567567568,0.9607142857142856,0.8775651927437641,0.6428571428571429,
xgboost,org.apache:digester,12300,149,26,0.8,0.9934333958724204,0.9692239581156584,0.9615384615384616,
xgboost,org.apache:felix,10365,2084,365,0.7890137328339576,0.9729262792161737,0.9077292215880359,0.8493150684931506,
xgboost,org.apache:hive,9653,2796,400,0.6982248520710059,0.931167570951586,0.7668657066891363,0.8,
xgboost,org.apache:httpclient,12096,353,43,0.8,0.9765941485371342,0.8807935910274182,0.9302325581395349,
xgboost,org.apache:httpcore,12088,361,97,0.4740740740740741,0.9166276163698844,0.7956177415886884,0.5876288659793815,
xgboost,org.apache:net,12266,183,25,0.48,0.9450632911392405,0.784803217440692,0.8,
xgboost,org.apache:thrift,12394,55,10,0.75,0.9844444444444445,0.9464285714285713,0.8,
xgboost,org.apache:vfs,12187,262,44,0.6666666666666666,0.954649708090075,0.8252308888889458,0.8181818181818182,
xgboost,org.apache:zookeeper,12279,170,35,0.7931034482758621,0.9904761904761904,0.9647021695986252,0.8857142857142857,
lightgbm,org.apache:archiva,11605,844,113,0.8016528925619835,0.9803275910075905,0.8888068022808056,0.9203539823008849,
lightgbm,org.apache:batik,11367,1082,176,0.8377581120943953,0.9827664057796508,0.9208582164655521,0.9375,
lightgbm,org.apache:bcel,12053,396,73,0.8493150684931506,0.9789643326689004,0.9161906673557041,0.8904109589041096,
lightgbm,org.apache:cayenne,11487,962,145,0.8175182481751825,0.9834043810408138,0.9250844660804791,0.9172413793103448,
lightgbm,org.apache:cocoon,10329,2120,464,0.6600877192982456,0.9229792655755455,0.7772144497722332,0.6142241379310345,
lightgbm,org.apache:codec,12404,45,9,0.6666666666666666,0.9876543209876543,0.9598765432098768,0.8888888888888888,
lightgbm,org.apache:commons-cli,12386,63,12,0.7272727272727273,0.9362745098039216,0.8168137357282096,0.5833333333333334,
lightgbm,org.apache:commons-fileupload,12424,25,6,0.8333333333333334,0.9912280701754387,0.9761904761904762,0.8333333333333334,
lightgbm,org.apache:commons-jelly,12290,159,14,0.35294117647058826,0.9753694581280787,0.8328453817424406,0.9285714285714286,
lightgbm,org.apache:commons-jexl,12348,101,19,0.7058823529411765,0.9589216944801027,0.86220811108969,0.7368421052631579,
lightgbm,org.apache:configuration,12274,175,32,0.8405797101449275,0.9829545454545455,0.926824813797575,0.875,
lightgbm,org.apache:daemon,12439,10,4,,,,,training_only
lightgbm,org.apache:dbcp,12395,54,14,0.7777777777777778,0.9964285714285714,0.9910714285714284,0.7142857142857143,
lightgbm,org.apache:digester,12300,149,26,0.8333333333333334,0.9915572232645403,0.9585139677545035,0.9615384615384616,
lightgbm,org.apache:felix,10365,2084,365,0.796044499381953,0.9748149210675209,0.9128252880867092,0.863013698630137,
lightgbm,org.apache:hive,9653,2796,400,0.6919431279620853,0.9369386477462438,0.7812350124085597,0.8025,
lightgbm,org.apache:httpclient,12096,353,43,0.7912087912087912,0.9750937734433609,0.8778905434455222,0.9302325581395349,
lightgbm,org.apache:httpcore,12088,361,97,0.5285714285714286,0.9089347079037801,0.7966335436200342,0.5876288659793815,
lightgbm,org.apache:net,12266,183,25,0.4247787610619469,0.9321518987341771,0.7628899156552096,0.8,
lightgbm,org.apache:thrift,12394,55,10,0.8235294117647058,0.9933333333333334,0.9769230769230769,0.9,
lightgbm,org.apache:vfs,12187,262,44,0.6554621848739496,0.9476647206005003,0.8090430975081404,0.7954545454545454,
lightgbm,org.apache:zookeeper,12279,170,35,0.8333333333333334,0.9881481481481481,0.9590124797697708,0.8285714285714286,
