variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,resampler
severity,logistic_regression,4,21520,2391,230,0.5149863760217984,0.8217391304347826,0.6331658291457286,0.9507373800374224,0.7555228435292209,0.6048041413126742,0.9,smote
severity,logistic_regression,5,21520,2391,230,0.4895833333333333,0.8173913043478261,0.6123778501628665,0.9513127980202403,0.7361667623292871,0.5835831087058893,0.8739130434782608,smote
severity,logistic_regression,6,21520,2391,230,0.5311653116531165,0.8521739130434782,0.654424040066778,0.9639518741323462,0.7535720399190989,0.6301898954283115,0.9217391304347826,smote
severity,logistic_regression,7,21520,2391,231,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.9615059323392656,0.7600076412633461,0.6427761853548258,0.922077922077922,smote
severity,logistic_regression,8,21520,2391,231,0.5342465753424658,0.8441558441558441,0.6543624161073825,0.960273368606702,0.7695940161408172,0.6287597818519686,0.9307359307359307,smote
severity,logistic_regression,9,21520,2391,231,0.5220994475138122,0.8181818181818182,0.6374367622259697,0.9431938431938433,0.7356102443602519,0.6083400685943018,0.8874458874458875,smote
severity,logistic_regression,10,21520,2391,231,0.5025,0.8701298701298701,0.6370839936608558,0.9600368767035434,0.7453050246619254,0.6158103318732354,0.8961038961038961,smote
severity,decision_tree,1,21519,2392,231,0.5294117647058824,0.7402597402597403,0.6173285198555957,0.8349609668443542,0.416985827471761,0.578996667384665,0.7748917748917749,smote
severity,decision_tree,2,21520,2391,230,0.5616438356164384,0.7130434782608696,0.6283524904214559,0.8269058205742108,0.4280799872661253,0.5887708573314189,0.7521739130434782,smote
severity,decision_tree,3,21520,2391,230,0.5242718446601942,0.7043478260869566,0.601113172541744,0.8181618815765648,0.39770971733560445,0.5593064673490978,0.7391304347826086,smote
severity,decision_tree,4,21520,2391,230,0.5472312703583062,0.7304347826086957,0.6256983240223464,0.8330563547471983,0.42564732698286567,0.5871120263451903,0.7434782608695653,smote
severity,decision_tree,5,21520,2391,230,0.4969512195121951,0.7086956521739131,0.5842293906810035,0.8161710560730742,0.3802089168333176,0.5419470681128198,0.7217391304347827,smote
severity,decision_tree,6,21520,2391,230,0.5252225519287834,0.7695652173913043,0.6243386243386243,0.8477627105003722,0.42635946490303245,0.5893715110791566,0.7869565217391304,smote
severity,decision_tree,7,21520,2391,231,0.543918918918919,0.696969696969697,0.6110056925996205,0.8172348484848485,0.40837145746179626,0.5691226641483846,0.7316017316017316,smote
severity,decision_tree,8,21520,2391,231,0.5077399380804953,0.70995670995671,0.592057761732852,0.8181727994227994,0.38849512417575316,0.5499831472209885,0.7316017316017316,smote
severity,decision_tree,9,21520,2391,231,0.5451612903225806,0.7316017316017316,0.6247689463955638,0.8331619769119769,0.4247715169842502,0.5860051120035958,0.7445887445887446,smote
severity,decision_tree,10,21520,2391,231,0.5301204819277109,0.7619047619047619,0.6252220248667851,0.8448412698412698,0.42690424720930686,0.5892300425074363,0.7705627705627706,smote
severity,random_forest,1,21519,2392,231,0.5524861878453039,0.8658008658008658,0.6745362563237775,0.9695216860880906,0.7814621323355523,0.6518043655786787,0.9523809523809523,smote
severity,random_forest,2,21520,2391,230,0.5781710914454278,0.8521739130434782,0.6889279437609842,0.9677906766191176,0.7516641893617784,0.6643941304886294,0.9478260869565217,smote
severity,random_forest,3,21520,2391,230,0.5373961218836565,0.8434782608695652,0.6565143824027073,0.9653783473834577,0.7412462769759679,0.6310029490894765,0.9434782608695652,smote
severity,random_forest,4,21520,2391,230,0.5384615384615384,0.8521739130434782,0.6599326599326599,0.9683479870430356,0.7562668112349862,0.6356193302925721,0.9478260869565217,smote
severity,random_forest,5,21520,2391,230,0.520891364902507,0.8130434782608695,0.634974533106961,0.9565388407138402,0.7109550000715841,0.6054149638343562,0.9130434782608695,smote
severity,random_forest,6,21520,2391,230,0.5982142857142857,0.8739130434782608,0.7102473498233216,0.972545922781321,0.7714979823541169,0.6884512835479636,0.9782608695652174,smote
severity,random_forest,7,21520,2391,231,0.5800604229607251,0.8311688311688312,0.6832740213523132,0.9708213083213084,0.7746548213162444,0.6559594290231244,0.9826839826839827,smote
severity,random_forest,8,21520,2391,231,0.5790960451977402,0.8874458874458875,0.7008547008547008,0.9727262706429374,0.7754862238619178,0.6808250352575813,0.9783549783549783,smote
severity,random_forest,9,21520,2391,231,0.5495750708215298,0.8398268398268398,0.6643835616438356,0.9676938031104697,0.7664717131508463,0.6381084355049567,0.9523809523809523,smote
severity,random_forest,10,21520,2391,231,0.5497237569060773,0.8614718614718615,0.6711635750421585,0.9676998156164823,0.7454712377363308,0.6478359128639406,0.9653679653679653,smote
severity,xgboost,1,21519,2392,231,0.6170886075949367,0.8441558441558441,0.7129798903107861,0.9749094034147251,0.824447623803302,0.6875310833500636,0.961038961038961,smote
severity,xgboost,2,21520,2391,230,0.622895622895623,0.8043478260869565,0.7020872865275142,0.9706838621411182,0.7897486760476146,0.6727330540620196,0.9478260869565217,smote
severity,xgboost,3,21520,2391,230,0.5919003115264797,0.8260869565217391,0.6896551724137931,0.9711365511136149,0.8024775649563017,0.662033571902303,0.9434782608695652,smote
severity,xgboost,4,21520,2391,230,0.6051779935275081,0.8130434782608695,0.6938775510204082,0.9726958131299922,0.8002917907310143,0.6650146681566063,0.9608695652173913,smote
severity,xgboost,5,21520,2391,230,0.558641975308642,0.7869565217391304,0.6534296028880866,0.9635977707583042,0.7526118204082072,0.6209453318206072,0.9217391304347826,smote
severity,xgboost,6,21520,2391,230,0.6510067114093959,0.8434782608695652,0.7348484848484849,0.9759934008007565,0.8161426447667071,0.7099996709529294,0.9695652173913043,smote
severity,xgboost,7,21520,2391,231,0.6271186440677966,0.8008658008658008,0.7034220532319392,0.9742925284591952,0.7971818120893372,0.673678464387187,0.9826839826839827,smote
severity,xgboost,8,21520,2391,231,0.6253968253968254,0.8528138528138528,0.7216117216117216,0.9769139810806478,0.8224648967549715,0.6972155319244442,0.9696969696969697,smote
severity,xgboost,9,21520,2391,231,0.5980707395498392,0.8051948051948052,0.6863468634686347,0.9706750040083373,0.8005476489114097,0.6563419845660977,0.9437229437229437,smote
severity,xgboost,10,21520,2391,231,0.5756676557863502,0.8398268398268398,0.6830985915492958,0.9739257655924323,0.8102745551348148,0.6568211741421651,0.9696969696969697,smote
severity,lightgbm,1,21519,2392,231,0.6335616438356164,0.8008658008658008,0.7074569789674953,0.9747731830101103,0.8257647677097882,0.6779155036743303,0.9567099567099567,smote
severity,lightgbm,2,21520,2391,230,0.6309963099630996,0.7434782608695653,0.6826347305389222,0.9684908355632457,0.7759164935853065,0.6484824310354125,0.9434782608695652,smote
severity,lightgbm,3,21520,2391,230,0.6237288135593221,0.8,0.700952380952381,0.9703740216888317,0.8018575178716877,0.6712042820889529,0.9565217391304348,smote
severity,lightgbm,4,21520,2391,230,0.6046511627906976,0.7913043478260869,0.6854990583804144,0.9736595376536628,0.8049292556072074,0.6544141737356459,0.9608695652173913,smote
