project_id,model,t1,t2,n_train,n_test,n_pos_train,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
org.apache:hive,random_forest,2015-04-08 00:21:11+00:00,2017-10-16 03:03:42+00:00,4715,6585,939,1224,0.46830985915492956,0.2173202614379085,0.296875,0.7610185154706041,0.3940660624154607,0.22307020271632533,0.4550653594771242
org.apache:httpclient,random_forest,2011-01-07 21:01:16+00:00,2014-08-16 11:06:55+00:00,568,901,89,152,0.38461538461538464,0.03289473684210526,0.06060606060606061,0.6856861780619774,0.2975755037569649,0.06976024022893373,0.42105263157894735
org.apache:httpcore,random_forest,2010-03-22 22:02:09+00:00,2016-07-16 11:27:17+00:00,628,998,121,200,0.8125,0.065,0.12037037037037036,0.8167481203007518,0.5748965479311204,0.19518217623065756,0.52
org.apache:net,random_forest,2011-02-15 23:34:53+00:00,2014-04-13 18:38:49+00:00,225,274,45,24,0.20588235294117646,0.2916666666666667,0.2413793103448276,0.6655000000000001,0.19308485696771804,0.15749286735587062,0.3333333333333333
org.apache:thrift,random_forest,2011-08-23 20:27:19+00:00,2015-11-08 14:43:55+00:00,165,197,22,37,0.0,0.0,0.0,0.7545608108108108,0.33670272569670473,-0.0343489001101274,0.40540540540540543
org.apache:vfs,random_forest,2012-02-15 21:08:53+00:00,2019-02-01 02:24:06+00:00,391,469,76,90,0.6818181818181818,0.16666666666666666,0.26785714285714285,0.7647170917619466,0.48442265535975004,0.2760038869428967,0.4444444444444444
org.apache:zookeeper,random_forest,2012-03-30 22:29:08+00:00,2018-05-30 00:23:11+00:00,676,908,49,149,0.8,0.026845637583892617,0.05194805194805195,0.8000150321422571,0.4688726204302033,0.12776264212229066,0.5100671140939598
org.apache:archiva,xgboost,2011-07-28 05:49:37+00:00,2012-10-19 21:13:37+00:00,1465,1671,292,179,0.2952029520295203,0.44692737430167595,0.35555555555555557,0.8403477765962226,0.3029284728063537,0.26756675770853994,0.553072625698324
org.apache:batik,xgboost,2001-10-04 14:48:40+00:00,2003-08-14 09:32:29+00:00,1638,2025,328,143,0.4140625,0.3706293706293706,0.39114391143911437,0.8128237331212889,0.33669530045003376,0.3482378637441534,0.6433566433566433
org.apache:bcel,xgboost,2014-12-19 00:05:30+00:00,2016-06-25 21:47:44+00:00,445,483,89,8,0.0,0.0,0.0,0.6584210526315789,0.03105160782751909,-0.010259783520851542,0.25
org.apache:cayenne,xgboost,2011-05-15 11:23:02+00:00,2016-08-18 07:41:01+00:00,3406,4631,436,914,0.410958904109589,0.16411378555798686,0.23455824863174354,0.6986874723680717,0.3275590568920502,0.15697449129198132,0.3533916849015317
org.apache:cocoon,xgboost,2004-07-12 13:36:43+00:00,2006-09-16 23:47:26+00:00,2331,3499,459,696,0.63,0.09051724137931035,0.15829145728643215,0.5453583188783774,0.31693516505990926,0.18523205084209024,0.3146551724137931
org.apache:codec,xgboost,2011-08-06 02:19:20+00:00,2016-05-16 20:53:33+00:00,100,136,19,27,0.8,0.14814814814814814,0.25,0.7703024125042474,0.48002383052905695,0.2945828957442283,0.4074074074074074
org.apache:commons-jelly,xgboost,2003-01-16 09:17:17+00:00,2004-09-08 04:19:22+00:00,401,487,80,94,1.0,0.05319148936170213,0.10101010101010101,0.7320529478642196,0.43602672745431126,0.20825423000166648,0.3404255319148936
org.apache:commons-jexl,xgboost,2009-08-02 21:58:04+00:00,2015-12-09 10:41:16+00:00,144,222,29,31,0.8571428571428571,0.1935483870967742,0.3157894736842105,0.7600067556156055,0.4656539913480342,0.3735158940502923,0.5161290322580645
