variant,model,metric,mean,ci_low,ci_high,n
szz,lightgbm,roc_auc,0.9355459107977719,0.9238619539113166,0.9461383323391072,10
szz,lightgbm,pr_auc,0.26397147612252275,0.22083911662719283,0.3031762267346411,10
szz,lightgbm,mcc,0.3185472710462246,0.260941820867124,0.3726994101454531,10
szz,lightgbm,ce_at_20,0.9159770114942528,0.8793103448275861,0.9524137931034483,10
szz,logistic_regression,precision,0.05783277333765261,0.05530078505426919,0.060030989917569576,10
szz,logistic_regression,recall,0.825287356321839,0.7749425287356322,0.875057471264368,10
szz,logistic_regression,f1,0.10806521661751407,0.10339701439191505,0.11225687471525153,10
szz,logistic_regression,roc_auc,0.9234065945042005,0.9116007375211085,0.9353290408579663,10
szz,logistic_regression,pr_auc,0.21338788818826432,0.18844474955669804,0.24040385120878954,10
szz,logistic_regression,mcc,0.19028869350532224,0.17813476831173733,0.20137061999086908,10
szz,logistic_regression,ce_at_20,0.852183908045977,0.8094252873563219,0.8932183908045976,10
szz,random_forest,precision,0.5041666666666667,0.3416666666666667,0.6625,10
szz,random_forest,recall,0.056896551724137934,0.030229885057471262,0.09011494252873561,10
szz,random_forest,f1,0.09820702152857849,0.05574047819274337,0.14848426606648724,10
szz,random_forest,roc_auc,0.933172057760115,0.9195968646856411,0.9464692558149983,10
szz,random_forest,pr_auc,0.2801246961894123,0.2342172735201723,0.32382700335393894,10
szz,random_forest,mcc,0.15734933486438835,0.10160034197124015,0.2151260560800458,10
szz,random_forest,ce_at_20,0.9426436781609195,0.9155172413793105,0.9695402298850574,10
szz,svm,precision,0.35,0.11666666666666665,0.6166666666666666,10
szz,svm,recall,0.027126436781609198,0.01,0.046902298850574634,10
szz,svm,f1,0.04963343108504399,0.018560606060606062,0.0814855205278591,10
szz,svm,roc_auc,0.9099317449575454,0.8970308272747209,0.9216381040980876,10
szz,svm,pr_auc,0.18438514671761638,0.15423799053190718,0.21639896163745007,10
szz,svm,mcc,0.09260816087380096,0.034223245136983146,0.15543031200350182,10
szz,svm,ce_at_20,0.8588505747126437,0.8288505747126436,0.8859770114942528,10
szz,xgboost,precision,0.4674825174825175,0.3383158508158508,0.5772727272727273,10
szz,xgboost,recall,0.12045977011494254,0.07436781609195402,0.16701149425287357,10
szz,xgboost,f1,0.1863796286339723,0.11966192259060837,0.2506682176080555,10
szz,xgboost,roc_auc,0.9459513855779452,0.9387005186903725,0.9528857404990462,10
szz,xgboost,pr_auc,0.27587381267626765,0.22602205810676232,0.32251608543122995,10
szz,xgboost,mcc,0.22755940814533995,0.15449419521149252,0.2935311331184966,10
szz,xgboost,ce_at_20,0.9190804597701149,0.8873563218390805,0.949655172413793,10
